,Brand,Name,Img_Url,Price
1,Longines Dolcevita,LonginesLongines Dolcevita,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-l5-655-5-08-7.jpg,"2,21,200"
2,Florence,RadoFlorence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-flourence-r48793103-115-3793-2-010.jpg,"49,800"
3,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-l4-766-4-58-2.jpg,"99,300"
4,Florence,RadoFlorence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-florence-r48743253-129-3743-2.025-1.jpg,"47,700"
5,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/4/l4.809.4.87.6-straight.jpg,"1,25,500"
6,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegant-l4-809-4-57-6.jpg,"1,25,500"
7,Conquest Classic,LonginesConquest Classic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-conquest-l2-785-5-58-7.jpg,"2,34,600"
8,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegant-l4-809-5-77-7.jpg,"1,75,500"
9,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-l4-755-4-11-6.jpg,"80,300"
10,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegant-l4-910-5-77-7.jpg,"2,22,700"
11,Longines Dolcevita,LonginesLongines Dolcevita,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-dolcevita-l5-755-4-87-6.jpg,"1,09,500"
12,Longines Dolcevita,LonginesLongines Dolcevita,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-dolcevita-l5-755-4-57-6.jpg,"1,01,500"
13,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-l4-755-4-58-2.jpg,"99,300"
14,Longines Dolcevita,LonginesLongines Dolcevita,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-dolcevita-l5-755-4-71-2.jpg,"75,200"
15,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-l4-755-4-58-6.jpg,"99,300"
16,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-integral-l4-709-1-91-7.jpg,"70,900"
17,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-l4-755-1-91-7.jpg,"93,500"
18,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-l4-755-4-71-6_1.jpg,"80,300"
19,De Ville,OmegaDe Ville,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/m/omega-de-ville-424-10-40-20-03-003.jpg,N/A
20,Seamaster,OmegaSeamaster,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/m/omega-seamaster-234-10-39-20-01-001.jpg,N/A
21,Ceramica,RadoCeramica,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-ceramica-r21700702.jpg,"1,69,100"
22,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-766-2-87-7.jpg,"1,21,200"
23,Longines Lyre,LonginesLongines Lyre,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-860-2-12-8.jpg,"81,100"
24,Longines Lyre,LonginesLongines Lyre,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-859-2-12-7.jpg,"76,700"
25,De Ville,OmegaDe Ville,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/m/omega-de-ville-424-10-40-20-02-003.jpg,N/A
26,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-watchmaking-tradition-l4-910-5-57-7.jpg,"2,22,700"
27,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-755-1-92-7.jpg,"93,500"
28,Ceramica,RadoCeramica,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-ceramica-r21700182.jpg,"1,54,800"
29,Chrono Classic,VictorinoxChrono Classic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/v/i/victorinox-chrono-classic-241494-1.jpg,"33,700"
30,Presence,LonginesPresence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-presence-l4-805-1-11-2.jpg,"94,200"
31,Classic,Daniel WellingtonClassic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/d/a/daniel-wellington-classic-dw00100277.jpg,"12,299"
32,Freelancer,Raymond WeilFreelancer,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-freelancer-2780-stc-acdc1.jpg,"1,75,200"
33,Meister Driver,JunghansMeister Driver,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/j/u/junghans-meister-driver-27368400.jpg,"1,93,500"
34,Max Bill,JunghansMax Bill,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/j/u/junghans-max-bill-27460100.jpg,"1,59,800"
35,T-Sport,TissotT-Sport,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/t/i/tissot-t-race-t092-427-27-061-01.jpg,"91,500"
36,Presence,LonginesPresence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-921-1-11-2.jpg,"84,000"
37,Longines Lyre,LonginesLongines Lyre,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-960-1-11-7.jpg,"1,03,000"
38,Museum Classic,MovadoMuseum Classic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/m/o/movado-museum-classic-607212.jpg,"68,250"
39,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-766-4-97-6.jpg,"99,300"
